,parameters,N,permuted,not permuted,ndarray,timeit
33,10000,1500,3.2257101769791916,2.7826315879938193,1.9940521499956958,10.0
34,10000,2000,3.7769851030316204,2.68447775504319,2.3662571359891444,10.0
35,50000,100,5.058614879962988,4.530531507043634,2.7920570399728604,10.0
36,50000,500,7.928295777994208,6.248301773972344,4.683685734984465,10.0
37,50000,1000,12.349156712996773,9.257661505020224,7.3314040069817565,10.0
38,50000,1500,16.855549703992438,11.53043526201509,9.693689647014253,10.0
39,50000,2000,19.2232426009723,15.013574259995949,12.189402376010548,10.0
40,100000,100,11.18145790899871,10.24767393397633,6.199669587018434,10.0
41,100000,500,18.442256772017572,14.698013744025957,10.338685047987383,10.0
42,100000,1000,26.114832680032123,20.155983028002083,15.68522629601648,10.0
43,100000,1500,33.20689382898854,24.742009706038516,20.52732111600926,10.0
44,100000,2000,37.51438077096827,27.170079502044246,23.129070902999956,10.0
0,10,100,0.1823783689760603,0.09023689501918852,0.0747730570146814,1000.0
1,10,500,0.18018192797899246,0.08959504100494087,0.08163324202178046,1000.0
2,10,1000,0.2370642379974015,0.1020620379713364,0.08716625400120392,1000.0
3,10,1500,0.25199706602143124,0.09884348802734166,0.08912419300759211,1000.0
4,10,2000,0.28929533099289984,0.11044254299486056,0.1019219650188461,1000.0
5,50,100,0.39502565294969827,0.2731555829523131,0.2010349560296163,1000.0
6,50,500,0.5376222489867359,0.31414698099251837,0.22573127096984535,1000.0
7,50,1000,0.6256648509879597,0.32452140300301835,0.3345602820045315,1000.0
8,50,1500,0.6719760989653878,0.3467465239809826,0.2512833660002798,1000.0
9,50,2000,0.7707836559857242,0.3591901460313238,0.28056044201366603,1000.0
10,100,100,0.7261190330027603,0.5050170590402558,0.32218614500015974,1000.0
11,100,500,0.8185637340066023,0.5267652770271525,0.37194396497216076,1000.0
12,100,1000,1.1270107200252824,0.5785352269886062,0.41431966004893184,1000.0
13,100,1500,1.274337450042367,0.6258933280478232,0.4667397540179081,1000.0
14,100,2000,1.4013740929658525,0.6684754689922556,0.5102920740027912,1000.0
15,500,100,2.7611185520072468,2.3292908199946396,1.4915522019728087,1000.0
16,500,500,3.6945351809845306,2.4883378440281376,1.6929334769956768,1000.0
17,500,1000,5.087093383015599,3.1565528149949387,2.258373307995498,1000.0
18,500,1500,7.989979334990494,4.552889962971676,3.637666883994825,1000.0
19,500,2000,10.638753022998571,5.707768403983209,4.952021070988849,1000.0
20,1000,100,0.6501428119954653,0.4935646959929727,0.2965953330276534,100.0
21,1000,500,0.9426679059979506,0.5846141560468823,0.4102917390409857,100.0
22,1000,1000,1.4468813840067014,0.8620137319667265,0.6872370170312934,100.0
23,1000,1500,1.8275041020242497,1.2065221050288528,1.2465544450096786,100.0
24,1000,2000,2.2767032769625075,1.1729394379653968,1.029699923004955,100.0
25,5000,100,3.727096394984983,3.2462625890038908,2.0306184009532444,100.0
26,5000,500,7.380946131015662,5.752938257995993,4.426923156017438,100.0
27,5000,1000,11.152687290974427,8.601685645000543,7.056528820015956,100.0
28,5000,1500,14.544459426018875,10.740107243997045,9.168859714991413,100.0
29,5000,2000,18.110592095006723,13.011045124963857,11.406123780005146,100.0
30,10000,100,1.0014785699895583,0.7680254119914025,0.474443060986232,10.0
31,10000,500,1.598665792029351,1.238813731004484,0.8899823109968565,10.0
32,10000,1000,2.6527934910263866,1.9115875819697976,1.5426301539991982,10.0
33,10000,1500,3.129953388008289,2.2629276730003767,1.8549677170231007,10.0
34,10000,2000,3.807330312964041,2.712462723022327,2.4506850370089523,10.0
35,50000,100,5.098025690997019,4.515242644993123,3.0641817090217955,10.0
36,50000,500,7.876943601004314,6.121725413016975,4.4853349379845895,10.0
37,50000,1000,11.84184606402414,8.99208879400976,7.308737259998452,10.0
38,50000,1500,15.033477069984656,11.165466922975611,9.314858324010856,10.0
